sensor_data,time,measure_name,measure_value
senor_1,2024-03-29 18:59:39.327000000,humidity,55.0
senor_1,2024-03-29 18:59:38.352000000,temperature,-1.5
senor_1,2024-03-29 18:59:38.352000000,humidity,47.0
senor_1,2024-03-29 18:59:37.329000000,temperature,-1.5
senor_1,2024-03-29 18:59:37.329000000,humidity,47.0
senor_1,2024-03-29 18:59:36.270000000,humidity,45.0
senor_1,2024-03-29 18:59:35.323000000,humidity,45.0
senor_1,2024-03-29 18:59:34.258000000,temperature,-2.400000095
senor_1,2024-03-29 18:59:34.258000000,humidity,43.0
senor_1,2024-03-29 18:59:33.252000000,temperature,-2.400000095
senor_1,2024-03-29 18:59:33.252000000,humidity,43.0
senor_1,2024-03-29 18:59:32.241000000,humidity,41.0
senor_1,2024-03-29 18:59:31.237000000,humidity,41.0
senor_1,2024-03-29 18:59:30.190000000,temperature,-3.5
senor_1,2024-03-29 18:59:30.190000000,humidity,39.0
senor_1,2024-03-29 18:59:29.215000000,temperature,-3.5
senor_1,2024-03-29 18:59:29.215000000,humidity,39.0
senor_1,2024-03-29 18:59:28.194000000,humidity,37.0
senor_1,2024-03-29 18:59:27.153000000,humidity,37.0
senor_1,2024-03-29 18:59:26.218000000,temperature,-4.599999905
senor_1,2024-03-29 18:59:26.218000000,humidity,35.0
senor_1,2024-03-29 18:59:25.111000000,temperature,-4.599999905
senor_1,2024-03-29 18:59:25.111000000,humidity,35.0
senor_1,2024-03-29 18:59:24.095000000,temperature,-4.099999905
senor_1,2024-03-29 18:59:24.095000000,humidity,33.0
senor_1,2024-03-29 18:59:23.166000000,temperature,-4.099999905
senor_1,2024-03-29 18:59:23.166000000,humidity,33.0
senor_1,2024-03-29 18:59:22.073000000,temperature,-5.699999809
senor_1,2024-03-29 18:59:22.073000000,humidity,30.0
senor_1,2024-03-29 18:59:21.139000000,temperature,-5.699999809
senor_1,2024-03-29 18:59:21.139000000,humidity,30.0
senor_1,2024-03-29 18:59:20.117000000,temperature,-5.400000095
senor_1,2024-03-29 18:59:20.117000000,humidity,28.0
